epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.6128,41.56,1.3959,49.74
2,1.3415,51.98,1.3463,52.31
3,1.2348,55.80,1.2187,56.82
4,1.1548,58.77,1.2204,57.42
5,1.0981,61.04,1.1628,59.08
6,1.0378,63.26,1.1528,59.49
7,0.9891,64.98,1.1193,61.35
8,0.9380,66.59,1.1358,60.58
9,0.8947,68.16,1.1549,61.06
10,0.8516,69.78,1.1431,61.60
11,0.8137,71.02,1.1687,60.90
12,0.7785,72.32,1.1969,61.18
13,0.7430,73.41,1.2079,60.28
14,0.7075,74.77,1.2150,60.66
15,0.6748,75.96,1.2540,60.41
16,0.6436,77.08,1.2914,60.21
17,0.6126,78.20,1.2971,60.76
18,0.5889,79.17,1.3213,60.33
19,0.5649,79.70,1.4137,60.09
20,0.5407,80.72,1.4480,59.54
